Name	Set	ImageFile	Type	Attribute	Level	ATK	DEF	Rarity	Format	Text
The Kick Man	AST	TheKickMan	Zombie/Effect	Dark	3	1300	300			When this card is Special Summoned successfully, you can equip 1 appropriate Equip Spell Card from your Graveyard to this card.
The Law of the Normal	AST	TheLawoftheNormal	Normal Spell							Activate only when there are 5 face-up Level 2 or lower Normal Monsters on your side of the field. Both players discard all cards in their hands, and destroy all cards on the field except Level 2 or lower Normal Monsters.
The Sanctuary in the Sky	AST	TheSanctuaryintheSky	Field Spell							Battle Damage to the controller of a Fairy-Type monster from a battle involving that Fairy-Type monster becomes 0.
The Second Sarcophagus	AST	TheSecondSarcophagus	Continuous Spell							This card can only be placed on the field by the effect of "The First Sarcophagus".
The Third Sarcophagus	AST	TheThirdSarcophagus	Continuous Spell							This card can only be placed on the field by the effect of "The First Sarcophagus".
The Unhappy Girl	AST	TheUnhappyGirl	Spellcaster/Effect	Light	2	400	300			As long as this card remains face-up in Attack Position on the field, this card is not destroyed by battle at any time, although damage calculation is applied normally. A monster that battles with this card cannot change its Battle Position or attack as long as this card remains face-up in Attack Position on the field.
Thousand Energy	AST	ThousandEnergy	Normal Spell							Increase the original ATK and DEF of all face-up Level 2 Normal Monsters (except Tokens) on your side of the field by 1000 points. Destroy all Level 2 Normal Monsters on your side of the field during the End Phase.
Triangle Power	AST	TrianglePower	Normal Spell							Increase the original ATK and DEF of all face-up Level 1 Normal Monsters (except Tokens) on your side of the field by 2000 points. Destroy all Level 1 Normal Monsters on your side of the field during the End Phase.
Two Thousand Needles	AST	TwoThousandNeedles	Beast/Effect	Earth	5	2000	1800			When this Defense Position card is attacked and the ATK of the attacking monster is lower than the DEF of this card, after Damage Calculation destroy the attacking monster.
Wall of Revealing Light	AST	WallofRevealingLight	Continuous Trap						A1/T1	When you activate this card, pay any multiple of 1000 Life Points. None of your opponent's monsters with ATK equal to or less than the Life Points you paid can attack.
Warrior of Zera	AST	WarriorofZera	Warrior	Earth	4	1600	1600			A wandering warrior who seeks the sanctuary where he can gain the power of the Archlords. To escape the temptation of evil fiends, he fights solo day by day.
Weapon Change	AST	WeaponChange	Continuous Spell							You can pay 700 Life Points only once per turn during your Standby Phase to activate this card's effect. Switch the ATK and DEF of 1 Warrior-Type or Machine-Type monster on your side of the field until the end of your opponent's next End Phase. When this card is destroyed, the effect is negated.
White Magician Pikeru	AST	WhiteMagicianPikeru	Spellcaster/Effect	Light	2	1200	0			During your Standby Phase, gain 400 Life Points for each monster on your side of the field.
Abaki	CDIP	Abaki	Fiend/Effect	Fire	4	1700	1100			When this card is destroyed and sent to the Graveyard by battle, both players take 500 damage.
Accumulated Fortune	CDIP	AccumulatedFortune	Normal Trap							Activate only as Chain Link 4 or higher. Draw 2 cards. You cannot activate this card if multiple cards/effects with the same name are in that chain.
Alien Infiltrator	CDIP	AlienInfiltrator	Reptile/Effect	Earth	2	800	500			Once per turn, this card can move to an adjacent unoccupied Monster Card Zone. If no Spell, Trap or Monster Card on your opponent's side of the field is in the same column as this card, it can attack your opponent directly.
Alien Mars	CDIP	AlienMars	Reptile/Effect	Fire	3	1000	1000			The effects of Effect Monsters with A-Counters are negated, except for "Alien Mars".
Allure Queen LV3	CDIP	AllureQueenLV3	Spellcaster/Effect	Dark	3	500	500			Once per turn, during your Main Phase, you can select 1 Level 3 or lower monster on your opponent's side of the field and equip it to this card. (Only 1 card at a time can be equipped due to this effect.) If this card would be destroyed by battle, the equipped monster is destroyed instead. During your Standby Phase, by sending this card to the Graveyard while it's equipped due to its effect, Special Summon 1 "Allure Queen LV5" from your hand or Deck.
Allure Queen LV5	CDIP	AllureQueenLV5	Spellcaster/Effect	Dark	5	1000	1000			Once per turn, during your Main Phase, if this card was Special Summoned by the effect of "Allure Queen LV3", you can select 1 Level 5 or lower monster on your opponent's side of the field and equip it to this card. (Only 1 card at a time can be equipped due to this effect.) If this card would be destroyed by battle, the equipped monster is destroyed instead. During your Standby Phase, by sending this card to the Graveyard while it's equipped due to its effect, Special Summon 1 "Allure Queen LV7" from your hand or Deck.
Allure Queen LV7	CDIP	AllureQueenLV7	Spellcaster/Effect	Dark	7	1500	1500			Once per turn, during your Main Phase, if this card was Special Summoned by the effect of "Allure Queen LV5", you can select 1 monster on your opponent's side of the field and equip it to this card. (Only 1 card at a time can be equipped due to this effect.) If this card would be destroyed by battle, the equipped monster is destroyed instead.
Barrier Statue of the Abyss	CDIP	BarrierStatueoftheAbyss	Fiend/Effect	Dark	4	1000	1000			No monsters can be Special Summoned, except for DARK monsters.
Barrier Statue of the Drought	CDIP	BarrierStatueoftheDrought	Rock/Effect	Earth	4	1000	1000			No monsters can be Special Summoned, except for EARTH monsters.
Barrier Statue of the Heavens	CDIP	BarrierStatueoftheHeavens	Fairy/Effect	Light	4	1000	1000			No monsters can be Special Summoned, except for LIGHT monsters.
Barrier Statue of the Inferno	CDIP	BarrierStatueoftheInferno	Pyro/Effect	Fire	4	1000	1000			No monsters can be Special Summoned, except for FIRE monsters.
Barrier Statue of the Stormwinds	CDIP	BarrierStatueoftheStormwinds	Winged Beast/Effect	Wind	4	1000	1000			No monsters can be Special Summoned, except for WIND monsters.
Barrier Statue of the Torrent	CDIP	BarrierStatueoftheTorrent	Aqua/Effect	Water	4	1000	1000			No monsters can be Special Summoned, except for WATER monsters.
Blast Asmodian	CDIP	BlastAsmodian	Fiend/Effect	Fire	3	1000	300			If any Spell or Trap Card(s) are Chained, inflict 500 damage to your opponent.
Blasting Fuse	CDIP	BlastingFuse	Normal Trap							Activate only when all (4) zones of this card's column are occupied. Destroy all cards in this column.
Byroad Sacrifice	CDIP	ByroadSacrifice	Normal Trap							Activate only if a monster on your side of the field is destroyed by battle. Special Summon 1 "Cyber Ogre" from your hand.
Chain Detonation	CDIP	ChainDetonation	Normal Trap							Inflict 500 damage to your opponent. If this card was activated as Chain Link 2 or 3, add this card to the Deck and shuffle it. If this card was activated as Chain Link 4 or higher, return this card to the hand.
Chain Healing	CDIP	ChainHealing	Normal Trap							Gain 500 Life Points. If this card was activated as Chain Link 2 or 3, add this card to the Deck and shuffle it. If this card was activated as Chain Link 4 or higher, return this card to the hand.
Chain Strike	CDIP	ChainStrike	Quick-Play Spell						A2/T2	Activate only as Chain Link 2 or higher; inflict 400 damage to your opponent times the Chain Link number of this card. You cannot activate this card if multiple cards/effects with the same name are in that Chain.
Combo Fighter	CDIP	ComboFighter	Warrior/Effect	Wind	4	1600	800			If a Chain (of 2 or more Links) occurred in your Main Phase 1, this card can attack twice during the Battle Phase this turn.
Combo Master	CDIP	ComboMaster	Warrior/Effect	Wind	5	2200	1500			If a Chain (of 2 or more Links) occurred in your Main Phase 1, this card can attack twice during the Battle Phase this turn.
Corruption Cell A	CDIP	CorruptionCellA	Normal Spell							Place 1 A-Counter on 1 face-up monster on your opponent's side of the field.
Counter Cleaner	CDIP	CounterCleaner	Normal Spell							Pay 500 Life Points. Remove all counters from the field.
Cyber Esper	CDIP	CyberEsper	Machine/Effect	Fire	4	1200	1800			While this card is in face-up Attack Position, you can look at every card your opponent draws.
Cyber Ogre	CDIP	CyberOgre	Machine/Effect	Earth	5	1900	1200			By discarding this card from your hand to the Graveyard, negate 1 battle involving a "Cyber Ogre" on your side of the field, and it gains 2000 ATK until the end of its next battle. This effect can be activated during either player's turn.
Cyber Ogre 2	CDIP	CyberOgre2	Machine/Fusion/Effect	Earth	7	2600	1900			Cyber Ogre + "Cyber Ogre" A Fusion Summon of this monster can only be conducted with the above Fusion Material Monsters. When this card attacks, it gains ATK equal to half the ATK of the attack target, during Damage Calculation only.
Cyber Shadow Gardna	CDIP	CyberShadowGardna	Continuous Trap							Activate only during your opponent's Main Phase. After activation, Special Summon this card; it is treated as an Effect Monster Card (Machine-Type/EARTH/Level 4/ATK ?/DEF ?). (This card is still treated as a Trap Card.) If this card is selected as an attack target, the ATK and DEF of this card become the ATK and DEF of the attacking monster. This card is Set in its Spell & Trap Card Zone during your opponent's End Phase.
Cyberdark Horn	CDIP	CyberdarkHorn	Machine/Effect	Dark	4	800	800			When this card is Normal Summoned, select 1 Level 3 or lower Dragon-Type monster in your Graveyard and equip it to this card. This card gains ATK equal to the equipped card's ATK. This card inflicts Piercing damage. If this card would be destroyed by battle, the equipped monster is destroyed instead.
Dark Lucius LV4	CDIP	DarkLuciusLV4	Fiend/Effect	Earth	4	1000	300			The effects of your opponent's monsters that this card destroys by battle are negated. During your next Standby Phase after this card destroys a monster by battle, by sending this card to the Graveyard, Special Summon 1 "Dark Lucius LV6" from your hand or Deck.
Dark Lucius LV6	CDIP	DarkLuciusLV6	Fiend/Effect	Earth	6	1700	600			If this card was Special Summoned by the effect of "Dark Lucius LV4", the effects of your opponent's monsters that this card destroys by battle are negated. During your next Standby Phase after this card has negated your opponent's monster effect, by sending this card to the Graveyard, Special Summon 1 "Dark Lucius LV8" from your hand or Deck.
Dark Lucius LV8	CDIP	DarkLuciusLV8	Fiend/Effect	Earth	8	2800	900			If this card was Special Summoned by the effect of "Dark Lucius LV6", your opponent's monsters that this card destroys by battle are removed from play, and their effects are negated.
Degenerate Circuit	CDIP	DegenerateCircuit	Continuous Spell							The controller of this card pays 500 Life Points during each of their Standby Phases (this is not optional). Monster Cards that would be returned from the field to the hand are removed from play instead.
Flame Ogre	CDIP	FlameOgre	Fiend/Effect	Fire	7	2400	1700			This card cannot be Special Summoned. When this card is Normal Summoned, draw 1 card.
Flash of the Forbidden Spell	CDIP	FlashoftheForbiddenSpell	Normal Spell							Activate only when all of your opponent's Monster Card Zones are occupied by monsters. Destroy all monsters on your opponent's side of the field.
Iris, the Earth Mother	CDIP	IristheEarthMother	Fairy/Effect	Light	6	2400	1200			After a Chain with 3 or more Links resolves, draw 1 card. This effect cannot activate if multiple cards/effects with the same name were activated in that Chain.
Justi-Break	CDIP	JustiBreak	Normal Trap							Activate only when your opponent declares an attack against a face-up Normal Monster on your side of the field. Destroy all monsters on the field, except face-up Attack Position Normal Monsters.
Level Down	CDIP	LevelDown	Quick-Play Spell							Select 1 face-up "LV" monster on the field to activate this card. Return the selected card to its owner's Deck and Special Summon 1 monster from the owner's Graveyard to their side of the field with the same name but lower "LV" (ignoring the Summoning conditions).
Lightning Punisher	CDIP	LightningPunisher	Thunder/Effect	Dark	7	2600	1600			After a Chain with 3 or more Links resolves, destroy 1 card on your opponent's side of the field. This effect cannot activate if multiple cards/effects with the same name were activated in that Chain.
Linear Accelerator Cannon	CDIP	LinearAcceleratorCannon	Normal Spell							Tribute 1 monster and inflict damage to your opponent equal to half that monster's original ATK. If you activate this card, you cannot activate any other Spell Cards this turn.
Man Beast of Ares	CDIP	ManBeastofAres	Beast-Warrior/Effect	Earth	3	500	500			After a Chain (of 2 or more Links) resolves, this card gains 500 ATK.
Mystical Wind Typhoon	CDIP	MysticalWindTyphoon	Quick-Play Spell							Activate only as Chain Link 3 or higher. Destroy 1 Spell or Trap Card on the field. You cannot activate this card if multiple cards/effects with the same name are in that Chain.
Queen's Bodyguard	CDIP	QueensBodyguard	Warrior/Effect	Earth	4	1700	1200			Allure Queen monsters on your side of the field cannot be selected as an attack target.
Rampaging Rhynos	CDIP	RampagingRhynos	Beast-Warrior/Effect	Earth	3	1500	1500			Once per turn, this card can move to an adjacent unoccupied Monster Card Zone. If this card attacks the monster in its same column, this card gains 500 ATK during the Damage Step.
Ritual Foregone	CDIP	RitualForegone	Normal Spell							Pay 1000 Life Points. Special Summon 1 Ritual Monster from your hand. The Ritual Monster Special Summoned by this effect cannot attack, and is destroyed during the End Phase. Only 1 "Ritual Foregone" can be activated per turn.
Senet Switch	CDIP	SenetSwitch	Continuous Spell							Once per turn, during your Main Phase, you can move 1 monster on your side of the field to an adjacent unoccupied Monster Card Zone.
Snipe Hunter	CDIP	SnipeHunter	Fiend/Effect	Dark	4	1500	600			You can discard 1 card to select 1 card on the field and roll a six-sided die. If the result is not 1 or 6, destroy the selected card.
Storm Shooter	CDIP	StormShooter	Winged Beast/Effect	Wind	7	2300	500			Once per turn, you can select and activate 1 of these effects: Move this card to an adjacent unoccupied Monster Card Zone. OR Return 1 Spell, Trap or Monster Card on your opponent's side of the field in the same column as this card to its owner's hand.
Straight Flush	CDIP	StraightFlush	Normal Trap							Activate only when all of your opponent's Spell & Trap Card Zones are occupied. Destroy all cards in your opponent's Spell & Trap Card Zones.
Stray Asmodian	CDIP	StrayAsmodian	Fiend/Effect	Fire	3	1300	1700			When this card is destroyed and sent to the Graveyard by battle, both players gain 800 Life Points.
Trojan Blast	CDIP	TrojanBlast	Normal Trap							Activate only when an opponent's card effect shifts control of a monster from your side of the field to theirs. Destroy that 1 monster and inflict damage to your opponent equal to its ATK.
Vanity's Call	CDIP	VanitysCall	Counter Trap							Activate only as Chain Link 4 or higher. Pay half your Life Points. Negate the activation and effects of all other cards in the same Chain, and destroy them.
Vanity's Fiend	CDIP	VanitysFiend	Fiend/Effect	Dark	6	2400	1200			This card cannot be Special Summoned. While this card is on the field, neither player can Special Summon monsters.
Vanity's Ruler	CDIP	VanitysRuler	Fairy/Effect	Light	8	2500	1600			This card cannot be Special Summoned. While this card is on the field, your opponent cannot Special Summon monsters.
Inferno Hammer	CMC	InfernoHammer	Fiend/Effect	Dark	6	2400	0			When this card destroys your opponent's monster and sends it to the Graveyard as a result of battle, you can select 1 face-up monster on your opponent's side of the field and flip it into face-down Defense Position.
Teva	CMC	Teva	Warrior/Effect	Light	5	2000	1500			When this card is Tribute Summoned successfully, your opponent cannot declare an attack during his/her next turn.
Final Countdown	CP01	FinalCountdown	Normal Spell							Pay 2000 Life Points. After 20 turns have passed (counting the turn you activate this card as the 1st turn), you win the Duel.
Metamorphosis	CP01	Metamorphosis	Normal Spell						A0/T1	Tribute 1 monster. Special Summon 1 Fusion Monster from your Extra Deck with the same Level as the Tributed monster.
Mudora	CP01	Mudora	Fairy/Effect	Earth	4	1500	1800			This card gains 200 ATK for every Fairy-Type monster in your Graveyard.
Reflect Bounder	CP01	ReflectBounder	Machine/Effect	Light	4	1700	1000			When this face-up Attack Position card is attacked by an opponent's monster, before damage calculation, this card inflicts damage to your opponent equal to the ATK of the attacking monster. Then, after damage calculation is resolved, this card is destroyed.
Satellite Cannon	CP01	SatelliteCannon	Machine/Effect	Light	5	0	0			This card cannot be destroyed by battle with a Level 7 or lower monster. During each of your End Phases, this card gains 1000 ATK. If this card attacks, its ATK is returned to 0, after damage calculation.
Thunder Kid	CP01	ThunderKid	Thunder	Wind	2	700	600			This monster stores electricity within his body, and can unleash it with catastrophic power.
Abyss Soldier	CP02	AbyssSoldier1	Aqua/Effect	Water	4	1800	1300			Once per turn, by discarding 1 WATER monster to the Graveyard, return 1 card on the field to its owner's hand.
Book of Taiyou	CP02	BookofTaiyou	Normal Spell							Flip 1 face-down monster on the field into face-up Attack Position.
Happy Lover	CP02	HappyLover	Fairy	Light	2	800	500			Enemies become overjoyed when struck by the Heart Ray emitted from the forehead of this tiny cherub.
Magical Stone Excavation	CP02	MagicalStoneExcavation	Normal Spell						A2/T2	Discard 2 cards; Add 1 Spell Card from your Graveyard to your hand.
Terraforming	CP02	Terraforming	Normal Spell							Add 1 Field Spell Card from your Deck to your hand.
Thunder Dragon	CP02	ThunderDragon	Thunder/Effect	Light	5	1600	1500			During your Main Phase, by discarding this card, add up to 2 "Thunder Dragons" from your Deck to your hand.
B.E.S. Crystal Core	CP03	BESCrystalCore	Machine/Effect	Water	5	2100	1000			When this card is Normal Summoned, put 3 counters on it. This card cannot be destroyed by battle. If this card battles a monster, remove 1 counter from this card at the end of the Damage Step. If you cannot, destroy it. Once per turn during your Main Phase, you can change 1 face-up Attack Position monster your opponent controls to face-up Defense Position.
Dark World Lightning	CP03	DarkWorldLightning	Normal Spell							Select 1 face-down card on the field and destroy it, and after that, select 1 card from your hand and discard it.
Fairy Dragon	CP03	FairyDragon	Dragon	Wind	4	1100	1200			This beautiful Dragon spirit harbors hidden strength.
Kaibaman	CP03	Kaibaman	Warrior/Effect	Light	3	200	700			You can Tribute this card to Special Summon 1 "Blue-Eyes White Dragon" from your hand.
Manticore of Darkness	CP03	ManticoreofDarkness	Beast-Warrior/Effect	Fire	6	2300	1000			During the End Phase of any turn this card is sent to the Graveyard, you can send 1 Beast, Beast-Warrior or Winged Beast-Type Monster Card from your hand or your side of the field to the Graveyard to Special Summon this card from the Graveyard.
Pikeru's Circle of Enchantment	CP03	PikerusCircleofEnchantment	Normal Trap							Damage to you from card effects becomes 0 until the end of this turn.
The Agent of Judgment - Saturn	CP03	TheAgentofJudgmentSaturn	Fairy/Effect	Light	6	2400	0			While your Life Points are higher than your opponent's, you can Tribute this card to inflict damage to your opponent equal to the difference. If you do not control "The Sanctuary in the Sky", this effect is not applied. You cannot conduct your Battle Phase the turn you activate this effect.
Wild Nature's Release	CP03	WildNaturesRelease	Normal Spell							Select 1 Beast-Type or Beast-Warrior-Type monster, it gains ATK equal to its DEF until the end of this turn. Destroy the monster during the End Phase.
Apprentice Magician	CP04	ApprenticeMagician	Spellcaster/Effect	Dark	2	400	800			When this card is Summoned, put 1 Spell Counter on a face-up card that you can put a Spell Counter on. If this card is destroyed in Battle, you can select 1 Level 2 or lower Spellcaster-Type monster from your Deck and Special Summon it in face-down Defense Position.
Confiscation	CP04	Confiscation	Normal Spell						A0/T1	Pay 1000 Life Points. Look at your opponent's hand, select 1 card in it and discard that card.
Divine Sword - Phoenix Blade	CP04	DivineSwordPhoenixBlade	Equip Spell							Equip only to a Warrior-Type monster. It gains 300 ATK. During your Main Phase, if this card is in your Graveyard you can remove from play 2 Warrior-Type monsters in your Graveyard to add this card to your hand.
Freed the Brave Wanderer	CP04	FreedtheBraveWanderer	Warrior/Effect	Light	4	1700	1200			Once per turn, you can remove from play 2 LIGHT monsters in your Graveyard to destroy 1 face-up monster on the field with higher ATK than this card.
Gigantes	CP04	Gigantes	Rock/Effect	Earth	4	1900	1300			This card cannot be Normal Summoned or Set. This card can only be Special Summoned by removing from play 1 EARTH monster in your Graveyard. When this card is destroyed by battle and sent to the Graveyard, destroy all Spell and Trap Cards on the field.
Grand Tiki Elder	CP04	GrandTikiElder	Fiend	Dark	4	1500	800			A masked monster that weilds the most deadly of curses.
Kinetic Soldier	CP04	KineticSoldier	Machine/Effect	Earth	3	1350	1800			When battling a Warrior-Type monster, this card gains 2000 ATK and DEF during damage calculation only.
Robbin' Goblin	CP04	RobbinGoblin	Continuous Trap							Each time a monster you control inflicts Battle Damage to your opponent, your opponent discards 1 random card.
Ultimate Offering	CP04	UltimateOffering	Continuous Trap						A1/T1	You can pay 500 Life Points to Normal Summon or Set 1 extra monster. You can only activate this effect during your Main Phase or your opponent's Battle Phase.
Amazon of the Seas	CP05	AmazonoftheSeas	Fish	Water	4	1300	1400			A mermaid who serves as a herald to the Ocean Lord. She protects the sacred domain of Atlantis.
Anti-Spell Fragrance	CP05	AntiSpellFragrance	Continuous Trap							Both players must Set Spell Cards before activating them, and cannot activate them until their next turn.
Cursed Seal of the Forbidden Spell	CP05	CursedSealoftheForbiddenSpell	Counter Trap							Discard 1 Spell Card. Negate the activation and the effect of a Spell Card and destroy it. Your opponent cannot activate Spell Cards with that name during the rest of this Duel.
Magical Merchant	CP05	MagicalMerchant	Insect/Effect	Light	1	200	700			FLIP: Pick up cards from the top of your Deck until you pick up a Spell or Trap Card. Add that card to your hand. Send the remaining cards to the Graveyard.
Pulling the Rug	CP05	PullingtheRug	Counter Trap							Negate the activation and effect of an Effect Monster whose effect activated when a monster was Normal Summoned (even itself), and destroy that Effect Monster.
Rescue Cat	CP05	RescueCat	Beast/Effect	Earth	4	300	100		A0/T1	You can send this face-up card to the Graveyard to Special Summon 2 Level 3 or lower Beast-Type monsters from your Deck. Those monsters are destroyed during the End Phase.
Spirit Barrier	CP05	SpiritBarrier	Continuous Trap							While you control a monster(s), you take no Battle Damage.
Trap Dustshoot	CP05	TrapDustshoot	Normal Trap						A0/T1	Activate only when your opponent has 4 or more cards in their hand. Look at your opponent's hand, select 1 Monster Card in it, and return that card to its owner's Deck.
Wave-Motion Cannon	CP05	WaveMotionCannon	Continuous Spell							During your Main Phase, you can send this card to the Graveyard to inflict 1000 damage to your opponent for each of your Standby Phases that have passed since this card was activated.
Batteryman AA	CP06	BatterymanAA	Thunder/Effect	Light	3	0	0			If all "Batteryman AA"(s) you control are in Attack Position, this card gains 1000 ATK for each. If all "Batteryman AA"(s) you control are in Defense Position, this card gains 1000 DEF for each.
Blaze Accelerator	CP06	BlazeAccelerator	Continuous Spell							You can send 1 Pyro-Type monster with 500 or less ATK from your hand to the Graveyard to destroy 1 monster your opponent controls, but you cannot declare an attack this turn if you do.
Call of Darkness	CP06	CallofDarkness	Continuous Trap							Send any monster that was Special Summoned by "Monster Reborn" to the Graveyard. While this card is on the field, "Monster Reborn" cannot be activated.
Cold Wave	CP06	ColdWave	Normal Spell						A0/T1	This card can only be activated at the start of your Main Phase 1. Until your next turn, neither player can activate or Set Spell or Trap cards, or activate their effects.
Dimension Wall	CP06	DimensionWall	Normal Trap							Activate only when an opponent's monster declares an attack. Instead of you, your opponent takes the Battle Damage you would have taken from this battle.
Helios Duo Megistus	CP06	HeliosDuoMegistus	Pyro/Effect	Light	6	?	?			You can Special Summon this card by Tributing 1 "Helios - The Primordial Sun". This card's ATK and DEF are equal to the number of removed from play monsters x 200. If this card is destroyed by battle and sent to the Graveyard, Special Summon it during the End Phase, and it gains 300 ATK and DEF.
Mage Power	CP06	MagePower	Equip Spell							The equipped monster gains 500 ATK and DEF for each Spell and Trap Card you control.
Majestic Mech - Ohka	CP06	MajesticMechOhka	Fairy/Effect	Light	6	2400	1400			You can Normal Summon this card without Tributing. If you do, it is sent to the Graveyard during the End Phase.
Rigorous Reaver	CP06	RigorousReaver	Plant/Effect	Fire	3	1600	100			FLIP: Each player discards 1 card. A monster that destroys this card by battle loses 500 ATK and DEF.
Sentinel of the Seas	CP06	SentineloftheSeas	Aqua	Water	4	1300	1000			A merman warrior dedicated to defending the ocean against anyone who would defile it.
Soul of Purity and Light	CP06	SoulofPurityandLight	Fairy/Effect	Light	6	2000	1800			This card cannot be Normal Summoned or Set. This card can only be Special Summoned by removing from play 2 LIGHT monsters from your Graveyard. During your opponent's Battle Phase, monsters they control lose 300 ATK.
Super-Electromagnetic Voltech Dragon	CP06	SuperElectromagneticVoltechDragon	Thunder/Effect	Light	5	2400	1000			If you Tribute Summon this card by Tributing 1 of the following monsters, it gains the appropriate effect: Batteryman D: Negate the effect of a Spell or Trap Card that targets this 1 card. Batteryman C: During battle between this attacking card and a Defense Position monster whose DEF is lower than the ATK of this card, inflict the difference as Battle Damage to your opponent. Batteryman AA: This card gains 1000 ATK.
Ancient Rules	CP07	AncientRules	Normal Spell							Special Summon 1 Level 5 or higher Normal Monster from your hand.
Counter Counter	CP07	CounterCounter	Counter Trap							Negate the activation of a Counter Trap Card, and destroy it.
Dark World Grimoire	CP07	DarkWorldGrimoire	Continuous Spell							During your End Phase, if you discard a Monster Card(s) to the Graveyard because you had more than 6 cards in your hand, you can Special Summon 1 of those monsters.
Dimensional Inversion	CP07	DimensionalInversion	Normal Trap							Activate only when a monster(s) you own is removed from play by an opponent's effect. Special Summon 1 of those monsters.
Fairy King Truesdale	CP07	FairyKingTruesdale	Plant/Effect	Water	6	2200	1500			While this card is in Defense Position, all Plant-Type monsters you control gain 500 ATK and DEF.
Fusilier Dragon, the Dual-Mode Beast	CP07	FusilierDragontheDualModeBeast	Machine/Effect	Dark	7	2800	2000			You can Normal Summon or Set this card without Tributing. If you do, its original ATK and DEF are halved.
Homunculus the Alchemic Being	CP07	HomunculustheAlchemicBeing	Plant/Effect	Light	4	1800	1600			Once per turn, you can change the Attribute of this monster.
Life Absorbing Machine	CP07	LifeAbsorbingMachine	Continuous Trap							During your Standby Phase, gain Life Points equal to half of the total Life Points you paid during your last turn.
Lonefire Blossom	CP07	LonefireBlossom	Plant/Effect	Fire	3	500	1400		A1/T1	Once per turn, you can Tribute 1 face-up Plant-Type monster to Special Summon 1 Plant-Type monster from your Deck.
Memory Crusher	CP07	MemoryCrusher	Fiend/Effect	Dark	3	1000	600			If this card successfully attacks directly, inflict 100 damage to your opponent for each card in their Extra Deck.
Shovel Crusher	CP07	ShovelCrusher	Machine	Earth	3	900	1200			Armed with a pair of shovels, this monster will destroy anything that stands in its way.
Alien Mother	CP08	AlienMother	Reptile/Effect	Dark	6	2300	1500			If this card destroys a monster with an A-Counter by battle and sends it to the Graveyard, Special Summon the destroyed monster to your side of the field at the end of the Battle Phase. When this card is removed from the field, all monsters that were Special Summoned by this card's effect are destroyed.
Cell Explosion Virus	CP08	CellExplosionVirus	Normal Trap							Activate only when an opponent's monster with an A-Counter(s) declares an attack. Destroy all Attack Position monsters your opponent controls.
Gravity Behemoth	CP08	GravityBehemoth	Beast/Effect	Dark	6	2300	2000			If there are no cards on the field, this card can be Normal Summoned without Tribute. This effect cannot be used during your first turn. Once per turn, you can destroy 1 face-up Field Spell Card on the field. If you do this, this card cannot attack this turn.
Magician's Valkyria	CP08	MagiciansValkyria	Spellcaster/Effect	Light	4	1600	1800			Your opponent cannot select another Spellcaster-Type monster on your side of the field as an attack target.
Miraculous Rebirth	CP08	MiraculousRebirth	Quick-Play Spell							Activate only as Chain Link 4 or higher. Select 1 monster from either player's Graveyard and Special Summon it. You cannot activate this card if multiple cards/effects with the same name are in that Chain.
Mushroom Man	CP08	MushroomMan	Plant	Earth	2	800	600			Found in humid regions, this creature attacks enemies with a lethal rain of poison spores.
Royal Oppression	CP08	RoyalOppression	Continuous Trap						A0/T1	Pay 800 Life Points to negate a Special Summon of a monster and the effect of a card that Special Summons a monster and destroy it. Both you and your opponent can use this effect as long as this card remains face-up on the field.
Alien Ammonite	CRMS	AlienAmmonite	Reptile/Tuner/Effect	Light	1	500	200			When this card is Normal Summoned, you can Special Summon 1 Level 4 or lower "Alien" monster from your Graveyard. The monster Special Summoned by this effect is destroyed during the End Phase.
Alien Kid	CRMS	AlienKid	Reptile/Effect	Light	4	1600	700			Place 1 A-Counter on all monsters Special Summoned to your opponent's side of the field. (If a monster with an A-Counter battles an "Alien" monster, it loses 300 ATK and DEF for each A-Counter during damage calculation only.)
Alien Overlord	CRMS	AlienOverlord	Reptile/Effect	Dark	6	2200	1600			You can remove 2 A-Counters from anywhere on the field to Special Summon this card from your hand. Once per turn, you can place 1 A-Counter on each face-up monster your opponent controls. (If a monster with an A-Counter battles an "Alien" monster, it loses 300 ATK and DEF for each A-Counter during damage calculation only.) You can only control 1 "Alien Overlord".
Arcane Apprentice	CRMS	ArcaneApprentice	Spellcaster/Tuner/Effect	Fire	2	1000	400			If this card is sent to the Graveyard for a Synchro Summon, you can add 1 "Assault Mode Activate" from your Deck to your hand.
Arcane Barrier	CRMS	ArcaneBarrier	Continuous Spell							Each time a Spellcaster-Type monster(s) on the field is destroyed, place 1 Spell Counter on this card (max. 4). You can send this card and 1 face-up Spellcaster-Type monster you control to the Graveyard to draw 1 card for each Spell Counter on this card.
Arcanite Magician	CRMS	ArcaniteMagician	Spellcaster/Synchro/Effect	Light	7	400	1800			1 Tuner + 1 or more non-Tuner Spellcaster-Type monsters When this card is Synchro Summoned, place 2 Spell Counters on it. This card gains 1000 ATK for each Spell Counter on it. You can remove 1 Spell Counter from a card you control to destroy 1 card your opponent controls.
Arcanite Magician-Assault Mode	CRMS	ArcaniteMagicianAssaultMode	Spellcaster/Effect	Light	9	900	2300			This card cannot be Normal Summoned or Set. This card cannot be Special Summoned except with "Assault Mode Activate". When this card is Special Summoned, place 2 Spell Counters on it. This card gains 1000 ATK for each Spell Counter on it. You can remove 2 Spell Counters from this card to destroy all cards your opponent controls. When this card on the field is destroyed, you can Special Summon 1 "Arcanite Magician" from your Graveyard.
