Name	Set	ImageFile	Type	Attribute	Level	ATK	DEF	Rarity	Format	Text
Dragon Shield	SHSP	J-SH61	Equip Spell						ocg	Equip only to a Dragon-Type monster. It cannot be destroyed by battle or card effects, also neither player takes battle damage from battles involving it.
Ghostrick House	SHSP	J-SH62	Field Spell						ocg	Neither player can attack face-down Defense Position monsters, also a player can be attacked directly if all monsters they control are in face-down Defense Position. Halve all effect damage that either player takes, and all battle damage that either player takes, except battle damage from "Ghostrick" monsters.
Bujin Regalia - The Mirror	SHSP	J-SH63	Normal Spell						ocg	At the start of Main Phase 1, if you control a Beast-Warrior-Type "Bujin" monster and your opponent's monsters on the field outnumber your monsters on the field: Until the end of your opponent's next turn, neither player can activate Spell/Trap Cards or Spell/Trap effects.
Vampire Empire	SHSP	J-SH64	Field Spell						ocg	Zombie-Type monsters gain 500 ATK during damage calculation only. Once per turn, when a card(s) is sent from your opponent's Deck to the Graveyard: Target 1 card on the field; send 1 DARK "Vampire" monster from your hand or Deck to the Graveyard, and if you do, destroy that target.
Pot of Duplicity	SHSP	J-SH65	Normal Spell						ocg	At the start of your Main Phase 1: Target 3 monsters with different Types in your Graveyard; shuffle all 3 of them into the Deck, then draw 2 cards. You cannot conduct your Battle Phase during the turn you activate this card.
Grandeur	SHSP	J-SH66	Quick-Play Spell						ocg	Target 1 Equip Spell Card in your Graveyard and 1 monster on the field that would be an appropriate target for that Equip Spell Card; equip that Equip Spell Card to that monster. Destroy that Equip Spell Card during the End Phase. You cannot Special Summon during the turn you activate this card. You can only activate 1 "Grandeur" per turn.
Molding the Monarchs	SHSP	J-SH67	Continuous Spell						ocg	You cannot Special Summon monsters from your Extra Deck. When you Tribute Summon a monster: You can activate 1 of these effects. You can only activate 1 of these "Molding the Monarchs" effects per turn, and only once that turn. *Add 1 monster with 2400 ATK and 1000 DEF from your Deck to your hand, except a monster of the same name as that Tribute Summoned monster. *Add 1 monster with 2800 ATK and 1000 DEF from your Deck to your hand, except a monster of the same name as that Tribute Summoned monster.
Breath of the Valiant	SHSP	J-SH68	Quick-Play Spell						ocg	You can only activate 1 "Breath of the Valiant" per turn. If you control 2 or more Fusion, Synchro, Ritual, or Xyz Monsters, apply these effects, depending on the number of different Monster Cards you control. *2 or more: Target either 1 of your banished monsters or 1 monster in your Graveyard; add that target to your hand. *3 or more: Target 1 Trap Card in your Graveyard; add that target to your hand. *4: Target 1 Spell Card in your Graveyard, except "Breath of the Valiant"; add that target to your hand.
Duston Mop	SHSP	J-SH69	Equip Spell						ocg	The equipped monster cannot be used as a Fusion, Synchro, or Xyz Material for a Summon, and it cannot be Tributed. When this card on the field is destroyed by your opponent's card effect and sent to the Graveyard: You can add 1 "Duston" monster from your Deck to your hand. You can only control 1 "Duston Mop".
Burst Reverse	SHSP	J-SH70	Normal Trap						ocg	Pay 2000 Life Points, then target 1 monster in your Graveyard; Special Summon it in face-down Defense Position.
Number Overlay Boost	SHSP	J-SH71	Normal Trap						ocg	Target 1 "Number" Xyz Monster you control that has no Xyz Material; attach 2 monsters from your hand to that monster as Xyz Materials.
Sinister Shield	SHSP	J-SH72	Normal Trap						ocg	Target 1 monster you control; equip this card to that target. Once per turn, that face-up Attack Position monster cannot be destroyed by battle. You take no battle damage from battles involving the equipped monster.
Ghostrick Out	SHSP	J-SH73	Normal Trap						ocg	Reveal 1 "Ghostrick" monster in your hand; this turn, "Ghostrick" cards you currently control and face-down Defense Position monsters you currently control cannot be targeted by, or destroyed by, card effects.
Ghostrick Panic	SHSP	J-SH74	Normal Trap						ocg	Target any number of face-down Defense Position monsters you control; change them to face-up Defense Position, and if you do, change face-up monsters your opponent controls to face-down Defense Position, up to the number of "Ghostrick" monsters changed to face-up Defense Position.
Vampire Shift	SHSP	J-SH75	Normal Trap						ocg	If there is no card in your Field Card Zone, and all the face-up monsters you control (if any) are Zombie-Type (and only Zombie-Type): Activate 1 "Vampire Empire" directly from your Deck, then you can Special Summon 1 DARK "Vampire" monster from your Graveyard in face-up Defense Position. You can only activate 1 "Vampire Shift" per turn.
Mistake	SHSP	J-SH76	Continuous Trap						ocg	Neither player can add cards from their Deck to their hand, except by drawing them.
Chain Ignition	SHSP	J-SH77	Continuous Trap						ocg	Once per turn, if a monster(s) your opponent controls is destroyed by your opponent's card effect (except during the Damage Step): You can target 1 card on the field; destroy that target.
Grisaille Gaol	SHSP	J-SH78	Normal Trap						ocg	If you control a Tribute, Ritual, and/or Fusion Summoned monster: Neither player can Synchro or Xyz Summon, also the effects of all Xyz Monsters and Synchro Monsters currently on the field are negated, and they cannot attack (these effects are applied until the end of your opponent's next turn).
Fight for Survival	SHSP	J-SH79	Normal Trap						ocg	Target 1 Dinosaur-Type monster you control; equip this card to that target. It gains 1000 ATK. When the equipped monster destroys an opponent's monster by battle and sends it to the Graveyard: It can make a second attack in a row on an opponent's monster.
From the Jaws of Defeat!?	SHSP	J-SH80	Normal Trap						ocg	Declare a Level between 1 and 12, then both players toss a coin once. If both results are heads, the Levels of all face-up monsters you currently control becomes the declared Level. If both results are tails, you lose 500 Life Points x the declared Level.
Kamionwizard	TP03	J-TC09	Spellcaster/Fusion	Dark	4	1300	1100		ocg	"Mystical Elf" + "Curtain of the Dark Ones"
Man-eating Black Shark	TP04	J-TD08	Fish/Fusion	Water	5	2100	1300		ocg	"Sea Kamen" + "Gruesome Goo" + "Amazon of the Seas"
Dryad	TP07	J-TG03	Spellcaster	Earth	4	1200	1400		ocg	A spirit of the forest powered by the surrounding trees and wildlife.
Rare Fish	TP15	J-TO09	Fish/Fusion	Water	4	1500	1200		ocg	"Fusionist" + "Enchanting Mermaid"
Hourglass of Life	TP16	J-TP03	Fairy	Light	2	700	600		ocg	This creature grants power instead of shortening life.
Battle Warrior	TP16	J-TP04	Warrior	Earth	3	700	1000		ocg	A warrior that fights with his bare hands.
Muse-A	TP16	J-TP05	Fairy	Light	3	850	900		ocg	A fairy of the arts that is unbeatable on the harp.
Zombie Warrior	TP16	J-TP08	Zombie/Fusion	Dark	3	1200	900		ocg	"Skull Servant" + "Battle Warrior"
Wings of Wicked Flame	TP17	J-TQ04	Pyro	Fire	2	700	600		ocg	Crimson wings of fire make this a very lethal creature.
Mavelus	TP17	J-TQ08	Winged Beast/Fusion	Wind	4	1300	900		ocg	"Tyhone" + "Wings of Wicked Flame"
The Wandering Doomed	TP18	J-TR04	Zombie	Dark	2	800	600		ocg	A monster that wanders the edges of the netherworld.
Boo Koo	TP21	J-TU06	Spellcaster	Dark	2	650	500		ocg	A book-like wizard with a wealth of magic written inside.
Bolt Penguin	TP22	J-TV06	Thunder	Water	3	1100	800		ocg	With both arms forming an electric whip, this monster paralyzes its enemies with electric shocks.
Rhaimundos of the Red Sword	TP23	J-TW06	Warrior	Earth	4	1200	1300		ocg	Armed with the Sword of Crimson Flames, this warrior can bind a monster with fiery restraints.
Vermillion Sparrow	TP23	J-TW08	Pyro/Fusion	Fire	5	1900	1500		ocg	"Rhaimundos of the Red Sword" + "Fireyarou"
Sixth Sense	VB6	J-BF03	Normal Trap						ocg	Choose 2 numbers from 1 to 6. Your opponent rolls a die, and if the number rolled matches one of your chosen numbers, you draw that many cards. If the number rolled does not match one of your chosen numbers, send that many cards from the Deck to the Graveyard.
Queen Angel of Roses	VE01	J-VA02	Plant/Effect	Earth	7	2400	1300		ocg	You can Tribute Summon this card in face-up Attack Position by Tributing 1 Plant-Type monster. Once per turn, during your Standby Phase, destroy 1 face-up monster on the field with the lowest ATK.
Snap Dragon	VE03	J-VC01	Plant/Effect	Earth	2	300	100		ocg	When this card is sent to the Graveyard, remove from play 1 random card in your opponent's hand (face-up) until the End Phase. Only 1 "Snap Dragon" can be activated per turn.
Super Star Mira	VE05	J-VE04	Warrior/Xyz/Effect	Light	*1	1100	1000		ocg	3 Level 1 monsters. If this face-up card on the field would be destroyed, you can detach 1 Xyz Material from it instead. While this card is face-up on the field, face-up Level 4 or lower monsters you control cannot be destroyed by card effects.
Line Monster K Horse	VF13	J-VM01	Beast-Warrior/Effect	Earth	3	800	400		ocg	When this card is Normal Summoned: Target 1 Set card in your opponent's Spell & Trap Card Zone; look at that target, and if it is a Trap Card, destroy it, otherwise return it to its original position. When you destroy a Trap Card by this effect, you can activate the following effect: *Special Summon 1 Level 3 EARTH monster from your hand in face-up Defense Position.
Rose Witch	VJMP	J-VJ52	Plant/Effect	Earth	4	1600	1000		ocg	This card can be treated as 2 Tributes for the Tribute Summon of a Plant-Type monster.
Phantom King Hyde Ride	VJMP	J-VJ61	Fiend/Tuner	Dark	3	1500	300		ocg	If this card is used as a Synchro Material Monster, the other monsters used for the Synchro Summon are treated as non-Tuner monsters.
Heavenly Wolf King Blue Seirios	VJMP	J-VJ62	Beast-Warrior/Synchro/Effect	Dark	6	2400	1500		ocg	1 Tuner + 1 or more non-Tuner monsters. When this card is destroyed and sent from the field to the Graveyard: You can target 1 face-up monster your opponent controls; that target loses 2400 ATK.
Dragorado	VJMP	J-VJ65	Dragon/Effect	Dark	4	1300	1900		ocg	When this card is Normal Summoned: You can Target 1 Normal Monster with 1000 ATK or lower from your Graveyard; Special Summon that target in face-up Defense Position. Once per turn: You can Tribute 1 Dragon-Type monster you control to target 1 face-up monster you control; that target becomes Level 8 and gains 800 ATK.
Mighty Warrior	VJMP	J-VJ71	Warrior/Synchro/Effect	Earth	6	2200	2000		ocg	1 Tuner + 1 or more non-Tuner monsters. If this card destroys an opponent's monster by battle: Inflict damage to your opponent equal to half the destroyed monster's ATK.
Number 106: Huge Rock Palm, Giant Hand	VJMP	J-VJ74	Rock/Xyz/Effect	Earth	*4	2000	2000		ocg	2 Level 4 monsters. During either player's turn, when a monster effect is activated on your opponent's side of the field: You can detach 2 Xyz Materials from this card to target 1 face-up Effect Monster your opponent controls; while this card is face-up on the field, that target's effects are negated and it cannot change its battle position.
Number 42: Starship Galaxy Tomahawk	VJMP	J-VJ75	Machine/Xyz/Effect	Wind	*7	0	3000		ocg	2 Level 7 monsters. You can detach 2 Xyz Materials from this card; Special Summon as many "Battle Eagle Tokens" (Machine-Type/WIND/Level 6/ATK 2000/DEF 0) as possible. They are destroyed at the end of this turn, also your opponent takes no battle damage for the rest of this turn.
Harpie Dancer	VJMP	J-VJ76	Winged Beast/Effect	Wind	4	1200	1000		ocg	You can target 1 face-up WIND monster you control; return that target to the hand, then you can Normal Summon 1 WIND monster from your hand as an additional Normal Summon. You can only use this effect of "Harpie Dancer" once per turn. This card's name becomes "Harpie Lady" while it is on the field or in the Graveyard.
Rose Archer	VJMP	J-VJ77	Machine/Effect	Wind	4	1100	500		ocg	If your opponent controls an Xyz Monster, you can Special Summon this card (from your hand). When this card is Special Summoned from the hand: Target 1 Spell/Trap Card your opponent controls; return it to the hand.
Starship Spy Plane	VJMP	J-VJ78	Warrior/Effect	Earth	3	1000	100		ocg	During either player's turn, when an opponent's Trap Card is activated, if you control a Plant-Type monster: You can send this card from your hand to the Graveyard; negate the activation, and if you do, destroy it.
Archfiend Commander	VJMP	J-VJ79	Fiend/Effect	Dark	6	2500	1200		ocg	If you control an "Archfiend" monster, you can Special Summon this card (from your hand). It cannot attack this turn. You can only Special Summon "Archfiend Commander" once per turn this way. When Special Summoned this way: Target 1 "Archfiend" card you control; destroy that target. When this card is Tribute Summoned: You can target 1 Level 6 "Archfiend" monster in your Graveyard; Special Summon that target in face-up Defense Position.
Magi Magi Magician Girl	WJMP	J-WJ18	Spellcaster/Xyz/Effect	Dark	*6	2400	2000		ocg	2 Level 6 Spellcaster-Type monsters. Once per turn, you can detach 1 Xyz Material from this card and banish 1 card in your hand to apply 1 of these effects. *Target 1 monster your opponent controls; gain control of it until the End Phase. *Target 1 monster in your opponent's Graveyard; Special Summon it to your side of the field.
Dododo Buster	WJMP	J-WJ20	Warrior/Effect	Earth	6	1900	800		ocg	If your opponent controls a monster and you control no monsters, you can Special Summon this card (from your hand), but its Level becomes 4. When this card is Tribute Summoned: You can target 1 "Dododo" monster in your Graveyard; Special Summon that target in face-up Defense Position.
Jewel Flare Dragon Stardust	YF05	J-YF05	Dragon/Synchro/Effect	Light	8	2500	2000		ocg	1 Tuner + 1 or more non-Tuner monsters. Once per turn, during either player's turn: You can target 1 face-up card on the field; once during this turn, it cannot be destroyed by battle or by card effects.
Jewel Crimson Dragon Archfiend	YF06	J-YF06	Dragon/Synchro/Effect	Dark	8	3000	2000		ocg	1 Tuner + 1 or more non-Tuner monsters. Once per turn, during your Main Phase 1: You can destroy all other face-up Attack Position monsters on the field. Other monsters cannot attack during the turn you activate this effect.
Horakhty, the Creator of Light	YGOP	J-YGOP	Creator God/Effect	Divine	12	?	?		ocg	Cannot be Normal Summoned or Set. Must be Special Summoned (from your hand) by Tributing 3 monsters whose original (printed) names are "Obelisk the Tormentor", "The Winged Dragon of Ra" and "Slifer the Sky Dragon", and cannot be Special Summoned by other ways. The Special Summon of this card cannot be negated. The player that Special Summons this card wins the Duel.
Number 47: Nightmare Shark	YZ04	J-YZ04	Sea Serpent/Xyz/Effect	Water	*3	2000	2000		ocg	2 Level 3 monsters. If this card is Special Summoned: You can attach 1 Level 3 WATER monster from your hand or side of the field to this card as an Xyz Material. Once per turn: You can detach 1 Xyz Material from this card to target 1 face-up WATER monster you control; this turn, that target can attack your opponent directly, but other monsters cannot attack this turn.
Number 72: Line Monster Chariot Rook	YZ05	J-YZ05	Beast-Warrior/Xyz/Effect	Earth	*6	2500	1200		ocg	2 Level 6 monsters. Once per turn: You can detach 2 Xyz Materials from this card, then target 1 Set Spell/Trap Card and 1 face-up monster your opponent controls; destroy both those targets. All battle damage inflicted to your opponent is halved during the turn you activate this effect.
